Server;Sets ;Games ;Points ;Description
Roger Federer  ;0?0;0?0;0?0;"1st serve wide; backhand return down the middle (very deep); forehand crosscourt; backhand down the middle; forehand down the middle; backhand down the middle; forehand inside-out; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; forehand inside-in; backhand slice crosscourt; forehand down the line, winner. (14-shot rally)"
Roger Federer  ;0?0;0?0;0?15;"1st serve wide, fault (wide). 2nd serve wide; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out (wide), unforced error. (7-shot rally)"
Roger Federer  ;0?0;0?0;15?15;"1st serve wide, fault (wide). 2nd serve wide; backhand return down the line (shallow); backhand crosscourt; forehand down the line, forced error."
Roger Federer  ;0?0;0?0;30?15;"1st serve wide; forehand return crosscourt (very deep); forehand inside-in; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand down the middle; backhand slice inside-out; forehand inside-in; backhand slice crosscourt; forehand approach shot down the line; forehand, forced error. (11-shot rally)"
Roger Federer  ;0?0;0?0;40?15;1st serve down the T, ace.
;;;;
Rafael Nadal  ;0?0;0?1;0?0;1st serve down the T, service winner.
Rafael Nadal  ;0?0;0?1;15?0;"1st serve wide; backhand slice return crosscourt (deep); forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand approach shot crosscourt; backhand down the middle; forehand volley crosscourt, winner. (10-shot rally)"
Rafael Nadal  ;0?0;0?1;15?15;"1st serve down the T, fault (net). 2nd serve down the T; backhand slice return inside-out (net), unforced error."
Rafael Nadal  ;0?0;0?1;30?15;"1st serve wide; backhand return crosscourt (very deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt (wide), unforced error. (5-shot rally)"
Rafael Nadal  ;0?0;0?1;40?15;1st serve down the T, fault (net). 2nd serve down the T, fault (net), double fault.
Rafael Nadal  ;0?0;0?1;40?30;"1st serve wide; backhand slice return down the middle (very deep); forehand crosscourt; backhand down the middle; forehand crosscourt; forehand down the middle; backhand down the middle; forehand crosscourt (wide), unforced error. (7-shot rally)"
;;;;
Roger Federer  ;0?0;1?1;0?0;"1st serve down the T, fault (net). 2nd serve down the T; forehand return inside-out (shallow); forehand approach shot down the line; forehand down the line; forehand volley crosscourt, winner. (5-shot rally)"
Roger Federer  ;0?0;1?1;15?0;"1st serve down the T, fault (long). 2nd serve down the T; backhand return inside-out (deep); backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the line, forced error. (6-shot rally)"
Roger Federer  ;0?0;1?1;15?15;"1st serve down the T; forehand return down the middle (very deep); forehand crosscourt (wide), unforced error."
Roger Federer  ;0?0;1?1;15?30;"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (deep); forehand approach shot crosscourt; backhand slice down the line, forced error."
Roger Federer  ;0?0;1?1;30?30;"1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; forehand inside-in; backhand down the line (net), unforced error. (6-shot rally)"
Roger Federer  ;0?0;1?1;30?40;"1st serve down the T, fault (net). 2nd serve down the T; backhand return inside-out (very deep); backhand, forced error."
;;;;
Rafael Nadal  ;0?0;2?1;0?0;"1st serve down the T; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice down the middle; forehand inside-out; forehand crosscourt; forehand inside-in; backhand slice crosscourt; forehand approach shot crosscourt, winner. (11-shot rally)"
Rafael Nadal  ;0?0;2?1;15?0;"1st serve wide, fault (wide). 2nd serve wide; backhand return down the middle (deep); forehand inside-out, winner."
Rafael Nadal  ;0?0;2?1;30?0;"1st serve down the T; backhand return crosscourt (very deep); forehand crosscourt; backhand slice, forced error."
Rafael Nadal  ;0?0;2?1;40?0;"1st serve wide; backhand return down the middle (very deep); backhand crosscourt, forced error."
Rafael Nadal  ;0?0;2?1;40?15;"1st serve to body, fault (long). 2nd serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice down the line; backhand approach shot down the line, winner. (8-shot rally)"
Rafael Nadal  ;0?0;2?1;40?30;"1st serve wide; backhand return down the line (very deep); backhand down the middle; forehand inside-out; forehand crosscourt; forehand approach shot inside-in; backhand crosscourt (net cord); forehand at net crosscourt; backhand lob down the middle; smash inside-out, winner. (10-shot rally)"
Rafael Nadal  ;0?0;2?1;40?40;"1st serve to body, fault (long). 2nd serve down the T; backhand return crosscourt (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand down the middle; forehand down the middle; forehand down the middle; forehand crosscourt; backhand slice down the line; forehand inside-out; forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the line (long), unforced error. (16-shot rally)"
Rafael Nadal  ;0?0;2?1;40?AD;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand down the line (long), unforced error. (7-shot rally)"
Rafael Nadal  ;0?0;2?1;40?40;"1st serve down the T; backhand return inside-out, forced error."
Rafael Nadal  ;0?0;2?1;AD?40;"1st serve down the T; forehand return down the middle (very deep); forehand down the middle; forehand inside-out; forehand chip/slice down the middle, forced error. (4-shot rally)"
Rafael Nadal  ;0?0;2?1;40?40;"1st serve down the T; backhand slice return crosscourt (deep); forehand down the line; forehand crosscourt (net), unforced error."
Rafael Nadal  ;0?0;2?1;AD?40;"1st serve wide, fault (long). 2nd serve wide; backhand return crosscourt (net), unforced error."
;;;;
Roger Federer  ;0?0;1?3;0?0;"1st serve wide; backhand slice return down the middle (shallow); backhand at net crosscourt, winner."
Roger Federer  ;0?0;1?3;15?0;"1st serve wide; forehand return down the middle, forced error."
Roger Federer  ;0?0;1?3;30?0;"1st serve wide; backhand return down the middle, forced error."
Roger Federer  ;0?0;1?3;40?0;1st serve wide, ace.
;;;;
Rafael Nadal  ;0?0;3?2;0?0;"1st serve down the T; backhand return down the middle (shallow); forehand down the middle; forehand inside-out; forehand crosscourt; forehand inside-out; forehand down the line; forehand crosscourt; backhand down the line; backhand down the line (long), unforced error. (9-shot rally)"
Rafael Nadal  ;0?0;3?2;15?0;"1st serve wide; backhand slice return down the line (very deep); backhand crosscourt (long), unforced error."
Rafael Nadal  ;0?0;3?2;15?15;"1st serve down the T; forehand return crosscourt (deep); forehand inside-in; backhand slice crosscourt; forehand crosscourt; backhand slice down the line; backhand down the line; backhand crosscourt; forehand crosscourt; backhand approach shot crosscourt (net), unforced error. (9-shot rally)"
Rafael Nadal  ;0?0;3?2;30?15;"1st serve down the T, fault (long). 2nd serve wide; backhand return down the line (deep); backhand crosscourt; forehand approach shot down the line; forehand crosscourt, winner. (5-shot rally)"
Rafael Nadal  ;0?0;3?2;40?15;"1st serve down the T; backhand return down the middle (very deep); forehand inside-out; forehand down the line; forehand crosscourt; backhand down the line (wide), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;0?0;2?4;0?0;"1st serve wide, fault (long). 2nd serve wide; backhand return crosscourt (shallow); forehand crosscourt; backhand slice down the line; backhand crosscourt; forehand chip/slice down the middle, forced error. (5-shot rally)"
Roger Federer  ;0?0;2?4;15?0;"1st serve wide, fault (net). 2nd serve wide; forehand return crosscourt (deep); backhand slice down the line; backhand crosscourt; forehand chip/slice crosscourt, forced error. (4-shot rally)"
Roger Federer  ;0?0;2?4;15?15;"1st serve wide; backhand return down the middle (shallow); forehand approach shot inside-out, winner."
Roger Federer  ;0?0;2?4;30?15;"1st serve wide, fault (net). 2nd serve to body; backhand return down the middle (shallow); forehand volley crosscourt, winner."
Roger Federer  ;0?0;2?4;40?15;"1st serve wide; backhand return down the middle (very deep); backhand half-volley at baseline crosscourt; forehand crosscourt; backhand down the line; backhand crosscourt, winner. (6-shot rally)"
Roger Federer  ;0?0;2?4;40?30;"1st serve down the T; backhand return inside-out (shallow); forehand inside-out; forehand crosscourt; backhand slice down the line; forehand inside-in; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand crosscourt (wide), unforced error. (11-shot rally)"
;;;;
Rafael Nadal  ;0?0;4?3;0?0;"1st serve down the T; backhand slice return down the middle (deep); forehand crosscourt; backhand down the line (net), unforced error."
Rafael Nadal  ;0?0;4?3;15?0;"1st serve to body; forehand return inside-out (deep); forehand crosscourt; backhand down the line; backhand down the line; backhand approach shot down the line; backhand slice down the middle; forehand volley inside-out (net), unforced error. (7-shot rally)"
Rafael Nadal  ;0?0;4?3;30?0;"1st serve down the T; backhand slice return down the middle, forced error."
Rafael Nadal  ;0?0;4?3;40?0;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand drop shot crosscourt; forehand chip/slice at net down the line; forehand lob crosscourt; trick shot, forced error. (8-shot rally)"
Rafael Nadal  ;0?0;4?3;40?15;"1st serve down the T; backhand return inside-out (deep); forehand inside-out; forehand down the line, forced error."
;;;;
Roger Federer  ;0?0;3?5;0?0;"1st serve down the T; forehand return inside-out, forced error."
Roger Federer  ;0?0;3?5;15?0;"1st serve down the T; backhand return inside-out, forced error."
Roger Federer  ;0?0;3?5;30?0;1st serve down the T, ace.
Roger Federer  ;0?0;3?5;40?0;"1st serve wide; forehand return crosscourt, forced error."
;;;;
Rafael Nadal  ;0?0;5?4;0?0;"1st serve down the T; backhand return inside-out, forced error."
Rafael Nadal  ;0?0;5?4;15?0;"1st serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt (net), unforced error. (4-shot rally)"
Rafael Nadal  ;0?0;5?4;15?15;"1st serve to body; forehand return crosscourt (very deep); forehand down the middle; forehand approach shot crosscourt; backhand down the line; backhand volley crosscourt, winner. (6-shot rally)"
Rafael Nadal  ;0?0;5?4;15?30;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle (long), unforced error."
Rafael Nadal  ;0?0;5?4;30?30;"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand inside-out, winner. (7-shot rally)"
Rafael Nadal  ;0?0;5?4;40?30;"1st serve wide; backhand return crosscourt (shallow); forehand down the line; forehand crosscourt; backhand slice down the line; forehand inside-out; forehand crosscourt (net cord); backhand approach shot down the line, winner. (8-shot rally)"
Rafael Nadal  ;0?0;5?4;40?40;"1st serve down the T; backhand slice return crosscourt (very deep); forehand crosscourt; backhand slice approach shot down the middle; backhand crosscourt; forehand volley down the line, winner. (6-shot rally)"
Rafael Nadal  ;0?0;5?4;40?AD;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; backhand down the line; backhand slice down the middle; forehand inside-out; forehand approach shot crosscourt; backhand down the line; backhand volley down the middle; forehand crosscourt; backhand volley crosscourt, forced error. (11-shot rally)"
Rafael Nadal  ;0?0;5?4;40?40;1st serve wide, ace.
Rafael Nadal  ;0?0;5?4;AD?40;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); forehand crosscourt; forehand inside-out; forehand chip/slice crosscourt, forced error. (4-shot rally)"
Rafael Nadal  ;0?0;5?4;40?40;"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; forehand inside-in; forehand inside-in; forehand inside-out; forehand crosscourt, forced error. (6-shot rally)"
Rafael Nadal  ;0?0;5?4;40?AD;"1st serve down the T, fault (net). 2nd serve wide; backhand slice return down the middle (net), unforced error."
Rafael Nadal  ;0?0;5?4;40?40;"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand down the line (long), unforced error."
Rafael Nadal  ;0?0;5?4;AD?40;"1st serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt (net), unforced error. (7-shot rally)"
;;;;
Roger Federer  ;0?1;0?0;0?0;"1st serve down the T; forehand return crosscourt (very deep); forehand inside-in; backhand crosscourt (wide), unforced error."
Roger Federer  ;0?1;0?0;15?0;"1st serve down the T; backhand return inside-out (shallow); forehand inside-out, winner."
Roger Federer  ;0?1;0?0;30?0;1st serve down the T, ace.
Roger Federer  ;0?1;0?0;40?0;"1st serve down the T, fault (wide). 2nd serve wide; forehand return down the middle (long), unforced error."
;;;;
Rafael Nadal  ;1?0;0?1;0?0;"1st serve down the T; backhand return down the middle (shallow); forehand crosscourt; backhand crosscourt; forehand down the middle; forehand inside-out; forehand crosscourt; backhand drop shot approach shot down the line; backhand slice at net crosscourt; forehand volley down the line, winner. (10-shot rally)"
Rafael Nadal  ;1?0;0?1;0?15;"1st serve wide; backhand slice return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the line, winner. (10-shot rally)"
Rafael Nadal  ;1?0;0?1;0?30;"1st serve down the T, fault (net). 2nd serve to body; forehand return crosscourt (net), unforced error."
Rafael Nadal  ;1?0;0?1;15?30;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); backhand down the middle; forehand approach shot inside-out; forehand down the line; forehand volley crosscourt; backhand approach shot down the line, winner. (7-shot rally)"
Rafael Nadal  ;1?0;0?1;30?30;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (very deep); backhand crosscourt; forehand approach shot down the line; forehand crosscourt, forced error. (4-shot rally)"
Rafael Nadal  ;1?0;0?1;30?40;"1st serve down the T; forehand return down the middle (deep); forehand approach shot inside-out; forehand crosscourt, winner. (4-shot rally)"
;;;;
Roger Federer  ;0?1;2?0;0?0;1st serve wide, ace.
Roger Federer  ;0?1;2?0;15?0;"1st serve down the T; backhand return inside-out (shallow); backhand volley down the line (net), unforced error."
Roger Federer  ;0?1;2?0;15?15;"1st serve wide; backhand return down the middle (shallow); forehand approach shot inside-out, winner."
Roger Federer  ;0?1;2?0;30?15;"1st serve down the T; backhand return inside-out (very deep); forehand inside-out; forehand down the line, forced error."
Roger Federer  ;0?1;2?0;40?15;"1st serve wide; backhand return crosscourt (deep), winner."
Roger Federer  ;0?1;2?0;40?30;"1st serve wide, fault (long). 2nd serve wide; forehand return down the middle (long), unforced error."
;;;;
Rafael Nadal  ;1?0;0?3;0?0;"1st serve down the T; backhand return inside-out, forced error."
Rafael Nadal  ;1?0;0?3;15?0;"1st serve wide, fault (long). 2nd serve wide; forehand return inside-in (wide), unforced error."
Rafael Nadal  ;1?0;0?3;30?0;"1st serve down the T; backhand slice return down the middle (deep); forehand inside-out (wide), unforced error."
Rafael Nadal  ;1?0;0?3;30?15;"1st serve to body; backhand slice return down the middle (shallow); forehand approach shot crosscourt; backhand crosscourt, forced error."
Rafael Nadal  ;1?0;0?3;40?15;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (long), unforced error."
;;;;
Roger Federer  ;0?1;3?1;0?0;1st serve down the T, service winner.
Roger Federer  ;0?1;3?1;15?0;1st serve wide, ace.
Roger Federer  ;0?1;3?1;30?0;1st serve down the T, ace.
Roger Federer  ;0?1;3?1;40?0;"1st serve wide, fault (long). 2nd serve wide; forehand return crosscourt (shallow); backhand slice down the line; backhand down the line; backhand slice approach shot down the line; backhand down the line (net), unforced error. (5-shot rally)"
;;;;
Rafael Nadal  ;1?0;1?4;0?0;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (long), unforced error."
Rafael Nadal  ;1?0;1?4;15?0;"1st serve wide; backhand return down the middle (deep); backhand slice down the middle; forehand inside-out, winner. (4-shot rally)"
Rafael Nadal  ;1?0;1?4;15?15;"1st serve down the T; backhand return down the middle, forced error."
Rafael Nadal  ;1?0;1?4;30?15;"1st serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand down the middle; forehand inside-out; forehand crosscourt; backhand slice down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand drop shot down the line; forehand at net inside-in; backhand lob crosscourt; smash crosscourt, winner. (15-shot rally)"
Rafael Nadal  ;1?0;1?4;40?15;"1st serve wide, fault (wide). 2nd serve down the T; backhand return down the middle (deep); forehand inside-out (wide), unforced error."
Rafael Nadal  ;1?0;1?4;40?30;"1st serve wide; backhand slice return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle, forced error. (5-shot rally)"
;;;;
Roger Federer  ;0?1;4?2;0?0;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); forehand down the middle, forced error."
Roger Federer  ;0?1;4?2;0?15;"1st serve wide; forehand return down the middle (shallow); forehand crosscourt, winner."
Roger Federer  ;0?1;4?2;15?15;"1st serve wide; backhand return down the middle (deep); forehand approach shot inside-out; forehand down the line; forehand volley, forced error. (4-shot rally)"
Roger Federer  ;0?1;4?2;15?30;"1st serve wide; forehand return down the line (very deep); forehand crosscourt; backhand slice down the line, forced error."
Roger Federer  ;0?1;4?2;30?30;"1st serve down the T; forehand return down the middle (deep); forehand inside-out (wide), unforced error."
Roger Federer  ;0?1;4?2;30?40;"1st serve down the T, fault (net). 2nd serve down the T; backhand return inside-out (shallow); backhand approach shot down the line; backhand down the line; backhand volley, forced error. (4-shot rally)"
;;;;
Rafael Nadal  ;1?0;3?4;0?0;"1st serve to body; forehand chip/slice return crosscourt, forced error."
Rafael Nadal  ;1?0;3?4;15?0;"1st serve wide; backhand slice return down the middle (very deep); forehand inside-out; forehand crosscourt (long), unforced error."
Rafael Nadal  ;1?0;3?4;30?0;"1st serve down the T; backhand return inside-out (deep); backhand slice down the middle; forehand crosscourt; backhand down the middle; forehand inside-out; forehand crosscourt; backhand drop shot crosscourt; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand half-volley at baseline down the middle; forehand crosscourt; backhand crosscourt; forehand drop shot down the middle (net), unforced error. (14-shot rally)"
Rafael Nadal  ;1?0;3?4;30?15;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; forehand inside-in; backhand crosscourt; forehand down the line; forehand down the line, forced error. (8-shot rally)"
Rafael Nadal  ;1?0;3?4;30?30;1st serve down the T, ace.
Rafael Nadal  ;1?0;3?4;40?30;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out (net), unforced error. (6-shot rally)"
Rafael Nadal  ;1?0;3?4;40?40;"1st serve wide, fault (net). 2nd serve to body; forehand return down the middle (shallow); backhand inside-out; forehand down the middle; backhand crosscourt; forehand chip/slice down the middle; forehand crosscourt (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;1?0;3?4;40?AD;"1st serve down the T; forehand return crosscourt, forced error."
Rafael Nadal  ;1?0;3?4;40?40;"1st serve down the T; backhand return down the middle (deep); forehand inside-out; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; forehand inside-in; backhand slice down the middle; forehand swinging volley approach shot crosscourt (long), unforced error. (9-shot rally)"
Rafael Nadal  ;1?0;3?4;AD?40;"1st serve to body; backhand return down the line, forced error."
;;;;
Roger Federer  ;0?1;4?4;0?0;"1st serve wide, fault (wide). 2nd serve down the T; forehand return down the middle (very deep); forehand crosscourt (wide), unforced error."
Roger Federer  ;0?1;4?4;0?15;"1st serve wide, fault (long). 2nd serve down the T; backhand return inside-out (shallow); forehand down the middle; backhand down the middle; forehand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out; forehand down the middle; forehand crosscourt; backhand slice down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt, winner. (20-shot rally)"
Roger Federer  ;0?1;4?4;0?30;"1st serve wide, fault (net). 2nd serve down the T; forehand return down the middle (deep); forehand inside-out; forehand down the middle; forehand down the middle; backhand inside-out; forehand inside-in; backhand crosscourt; forehand crosscourt (net), unforced error. (8-shot rally)"
Roger Federer  ;0?1;4?4;0?40;"1st serve down the T; backhand return down the middle (shallow); forehand approach shot crosscourt, winner."
Roger Federer  ;0?1;4?4;15?40;"1st serve down the T; forehand return down the middle (very deep); forehand crosscourt; forehand inside-out; forehand crosscourt; backhand down the line; backhand slice crosscourt; forehand crosscourt; backhand down the middle; backhand slice inside-out; forehand inside-in; backhand crosscourt; forehand down the line; forehand down the line; forehand chip/slice down the middle; forehand inside-out, winner. (16-shot rally)"
;;;;
Rafael Nadal  ;1?0;5?4;0?0;"1st serve down the T; backhand return inside-out (shallow); backhand slice down the line; forehand approach shot inside-out; forehand down the line; forehand volley (stop volley) crosscourt, winner. (6-shot rally)"
Rafael Nadal  ;1?0;5?4;0?15;"1st serve to body; forehand return inside-out, forced error."
Rafael Nadal  ;1?0;5?4;15?15;"1st serve to body; forehand return down the line (shallow); forehand approach shot down the line, winner."
Rafael Nadal  ;1?0;5?4;30?15;"1st serve wide; backhand return down the line (very deep); backhand down the middle; forehand approach shot crosscourt; backhand crosscourt; forehand volley crosscourt; backhand, forced error. (6-shot rally)"
Rafael Nadal  ;1?0;5?4;30?30;"1st serve down the T, fault (long). 2nd serve to body; forehand return down the middle (deep); forehand crosscourt; forehand approach shot inside-in; backhand slice crosscourt, winner. (5-shot rally)"
Rafael Nadal  ;1?0;5?4;40?30;"1st serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand down the line, forced error. (8-shot rally)"
Rafael Nadal  ;1?0;5?4;40?40;"1st serve down the T, fault (wide). 2nd serve down the T; backhand return down the middle (very deep); forehand down the middle; forehand inside-out; forehand crosscourt; backhand down the middle; forehand drop shot inside-out (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;1?0;5?4;40?AD;"1st serve to body; forehand return down the middle (very deep); forehand inside-out; forehand approach shot crosscourt; backhand down the line; backhand volley crosscourt; forehand down the middle; forehand at baseline down the middle; forehand crosscourt; backhand slice crosscourt, forced error. (9-shot rally)"
Rafael Nadal  ;1?0;5?4;40?40;"1st serve to body, fault (net). 2nd serve to body; forehand return crosscourt (long), unforced error."
