Server;Sets ;Games ;Points ;Description
Rafael Nadal  ;1?0;5?4;AD?40;"1st serve down the T, fault (net). 2nd serve to body; forehand return inside-out (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the line (net), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;0?2;0?0;0?0;"1st serve wide, fault (wide). 2nd serve wide; backhand return crosscourt (shallow); forehand down the line, winner."
Roger Federer  ;0?2;0?0;15?0;"1st serve down the T; backhand return down the middle (deep); forehand approach shot crosscourt; backhand lob crosscourt; smash crosscourt; backhand slice down the middle; forehand approach shot inside-out; forehand down the line, forced error. (7-shot rally)"
Roger Federer  ;0?2;0?0;30?0;"1st serve wide; backhand return crosscourt (deep); forehand approach shot down the line; forehand crosscourt; backhand volley down the line, winner. (5-shot rally)"
Roger Federer  ;0?2;0?0;40?0;"1st serve wide, fault (net). 2nd serve to body; backhand return inside-out (wide), unforced error."
;;;;
Rafael Nadal  ;2?0;0?1;0?0;"1st serve down the T; backhand return inside-out (very deep); forehand down the middle, forced error."
Rafael Nadal  ;2?0;0?1;0?15;1st serve wide, service winner.
Rafael Nadal  ;2?0;0?1;15?15;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand down the middle (long), unforced error."
Rafael Nadal  ;2?0;0?1;30?15;"1st serve wide; backhand return crosscourt (shallow); forehand approach shot crosscourt; backhand down the line, forced error."
Rafael Nadal  ;2?0;0?1;40?15;"1st serve down the T, fault (long). 2nd serve down the T; backhand return approach shot inside-out (very deep); backhand down the line; backhand volley (stop volley) crosscourt; forehand crosscourt, forced error. (4-shot rally)"
Rafael Nadal  ;2?0;0?1;40?30;"1st serve wide, fault (long). 2nd serve wide; forehand return inside-in (wide), unforced error."
;;;;
Roger Federer  ;0?2;1?1;0?0;"1st serve wide, fault (net). 2nd serve to body; backhand return crosscourt (net), unforced error."
Roger Federer  ;0?2;1?1;15?0;"1st serve wide; forehand return down the middle (very deep); forehand crosscourt; forehand inside-in; backhand down the line; backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand down the line; backhand down the middle; forehand approach shot crosscourt, winner. (13-shot rally)"
Roger Federer  ;0?2;1?1;30?0;"1st serve wide; backhand slice return down the middle (very deep); forehand crosscourt; backhand crosscourt, winner. (4-shot rally)"
Roger Federer  ;0?2;1?1;30?15;1st serve wide, ace.
Roger Federer  ;0?2;1?1;40?15;1st serve wide, service winner.
;;;;
Rafael Nadal  ;2?0;1?2;0?0;"1st serve wide; forehand return crosscourt (deep); backhand down the line; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand down the line; forehand down the middle; forehand crosscourt; backhand slice down the line; forehand inside-in; backhand crosscourt (long), unforced error. (15-shot rally)"
Rafael Nadal  ;2?0;1?2;15?0;"1st serve wide, fault (wide). 2nd serve wide; backhand slice return down the line (shallow) (net cord); backhand slice approach shot down the line, forced error."
Rafael Nadal  ;2?0;1?2;15?15;"1st serve down the T, fault (net). 2nd serve down the T; backhand return inside-out (very deep); backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand approach shot down the line; forehand crosscourt; backhand volley down the line, winner. (8-shot rally)"
Rafael Nadal  ;2?0;1?2;15?30;"1st serve to body, fault (long). 2nd serve wide; backhand return down the middle (deep); backhand down the middle; forehand inside-out; forehand chip/slice down the line; forehand swinging volley approach shot crosscourt, winner. (6-shot rally)"
Rafael Nadal  ;2?0;1?2;15?40;"1st serve to body; backhand return down the middle (deep); forehand crosscourt, winner."
Rafael Nadal  ;2?0;1?2;30?40;"1st serve to body, fault (long). 2nd serve wide; backhand return down the middle (deep); forehand down the middle; forehand inside-out; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt (long), unforced error. (7-shot rally)"
Rafael Nadal  ;2?0;1?2;40?40;1st serve down the T, service winner.
Rafael Nadal  ;2?0;1?2;AD?40;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the line (wide), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;0?2;2?2;0?0;"1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (very deep); forehand down the line; forehand, forced error."
Roger Federer  ;0?2;2?2;15?0;"1st serve down the T; backhand slice return down the middle, forced error."
Roger Federer  ;0?2;2?2;30?0;"1st serve down the T; forehand return inside-out, forced error."
Roger Federer  ;0?2;2?2;40?0;"1st serve wide; forehand return down the middle (deep); forehand volley crosscourt, winner."
;;;;
Rafael Nadal  ;2?0;2?3;0?0;"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; backhand slice down the line; forehand inside-out; forehand crosscourt; backhand slice down the line; forehand approach shot inside-in; backhand crosscourt, winner. (9-shot rally)"
Rafael Nadal  ;2?0;2?3;15?0;"1st serve wide; backhand slice return down the middle (deep); forehand crosscourt; backhand slice down the line; forehand inside-in; backhand approach shot crosscourt; forehand chip/slice crosscourt; backhand volley down the middle; backhand inside-out, forced error. (8-shot rally)"
Rafael Nadal  ;2?0;2?3;15?15;"1st serve to body, fault (net). 2nd serve to body; forehand return crosscourt (shallow); backhand down the middle; forehand approach shot crosscourt (net cord); backhand down the line, forced error. (4-shot rally)"
Rafael Nadal  ;2?0;2?3;15?30;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; forehand inside-out; forehand crosscourt; backhand slice down the line (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;2?0;2?3;15?40;"1st serve to body, fault (net). 2nd serve down the T; backhand return crosscourt (wide), unforced error."
Rafael Nadal  ;2?0;2?3;30?40;"1st serve wide, fault (long). 2nd serve wide; backhand return down the line (net), unforced error."
Rafael Nadal  ;2?0;2?3;40?40;"1st serve down the T, fault (wide and long). 2nd serve to body; forehand return crosscourt (deep); backhand down the middle; forehand inside-out, winner. (4-shot rally)"
Rafael Nadal  ;2?0;2?3;40?AD;"1st serve to body; forehand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand slice down the line; forehand approach shot inside-in; backhand crosscourt; forehand volley down the line, forced error. (7-shot rally)"
Rafael Nadal  ;2?0;2?3;40?40;"1st serve down the T; backhand return down the middle (shallow); forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the line, winner. (6-shot rally)"
Rafael Nadal  ;2?0;2?3;40?AD;"1st serve down the T, fault (net). 2nd serve to body; forehand return down the middle (shallow); backhand inside-out; backhand slice down the line, forced error."
Rafael Nadal  ;2?0;2?3;40?40;"1st serve wide; forehand return down the middle (deep); forehand crosscourt; backhand slice down the middle; forehand approach shot crosscourt; backhand lob down the line; smash inside-in, winner. (7-shot rally)"
Rafael Nadal  ;2?0;2?3;AD?40;"1st serve to body; backhand return down the middle (deep); forehand approach shot crosscourt; backhand lob crosscourt, forced error."
;;;;
Roger Federer  ;0?2;3?3;0?0;"1st serve down the T; forehand return down the middle (shallow); forehand approach shot down the middle; forehand crosscourt; backhand volley down the line; backhand down the line, winner. (6-shot rally)"
Roger Federer  ;0?2;3?3;0?15;"1st serve wide; forehand return down the line (deep); forehand approach shot down the line; forehand chip/slice down the middle; backhand volley down the middle (long), unforced error. (4-shot rally)"
Roger Federer  ;0?2;3?3;0?30;"1st serve down the T, fault (long). 2nd serve down the T; forehand return crosscourt (shallow); backhand volley (stop volley) down the middle; backhand slice at net inside-out; backhand volley down the line, forced error. (4-shot rally)"
Roger Federer  ;0?2;3?3;0?40;"1st serve wide, fault (long). 2nd serve to body; backhand return inside-out (deep); forehand inside-in; backhand crosscourt (net), unforced error."
Roger Federer  ;0?2;3?3;15?40;1st serve wide, service winner.
Roger Federer  ;0?2;3?3;30?40;"1st serve down the T, fault (long). 2nd serve wide; forehand return crosscourt (net), unforced error."
Roger Federer  ;0?2;3?3;40?40;"1st serve wide; backhand return down the line, forced error."
Roger Federer  ;0?2;3?3;AD?40;"1st serve wide; forehand return down the line, forced error."
;;;;
Rafael Nadal  ;2?0;3?4;0?0;"1st serve down the T; backhand return inside-out (shallow); backhand slice down the line; backhand down the line (net), unforced error."
Rafael Nadal  ;2?0;3?4;15?0;"1st serve to body; backhand return down the middle (shallow); forehand approach shot crosscourt; backhand crosscourt; forehand volley (stop volley) down the line; forehand chip/slice at net crosscourt; backhand volley down the line, winner. (7-shot rally)"
Rafael Nadal  ;2?0;3?4;30?0;"1st serve wide; forehand return crosscourt (deep); backhand down the middle; forehand approach shot crosscourt (net cord); backhand down the line (wide), unforced error. (4-shot rally)"
Rafael Nadal  ;2?0;3?4;30?15;"1st serve wide; backhand return down the middle (long), unforced error."
Rafael Nadal  ;2?0;3?4;40?15;"1st serve down the T; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice down the line; backhand crosscourt; forehand down the middle (long), unforced error. (7-shot rally)"
;;;;
Roger Federer  ;0?2;4?4;0?0;"1st serve wide; backhand return down the line (deep); forehand inside-in; backhand down the line; forehand inside-out, winner. (5-shot rally)"
Roger Federer  ;0?2;4?4;15?0;1st serve wide, ace.
Roger Federer  ;0?2;4?4;30?0;1st serve wide, fault (wide). 2nd serve to body, fault (long), double fault.
Roger Federer  ;0?2;4?4;30?15;"1st serve wide; forehand return crosscourt (deep); backhand down the line (long), unforced error."
Roger Federer  ;0?2;4?4;30?30;"1st serve wide; backhand return down the middle, forced error."
Roger Federer  ;0?2;4?4;40?30;"1st serve wide; forehand return crosscourt, forced error."
;;;;
Rafael Nadal  ;2?0;4?5;0?0;"1st serve to body; backhand return inside-in, forced error."
Rafael Nadal  ;2?0;4?5;15?0;1st serve down the T, ace.
Rafael Nadal  ;2?0;4?5;30?0;"1st serve to body; forehand return down the middle, forced error."
Rafael Nadal  ;2?0;4?5;40?0;"1st serve wide, fault (net). 2nd serve wide; backhand return down the middle (deep); backhand crosscourt (long), unforced error."
Rafael Nadal  ;2?0;4?5;40?15;"1st serve down the T; backhand return inside-out (very deep); backhand crosscourt, forced error."
Rafael Nadal  ;2?0;4?5;40?30;1st serve down the T, fault (long). 2nd serve to body, fault (net), double fault.
Rafael Nadal  ;2?0;4?5;40?40;"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand inside-out; forehand chip/slice down the line, forced error. (5-shot rally)"
Rafael Nadal  ;2?0;4?5;AD?40;"1st serve wide; backhand return down the line (very deep); backhand down the middle; forehand inside-out, winner. (4-shot rally)"
Rafael Nadal  ;2?0;4?5;40?40;"1st serve wide; forehand return crosscourt, forced error."
Rafael Nadal  ;2?0;4?5;AD?40;"1st serve wide; backhand slice return crosscourt (very deep); forehand crosscourt; backhand slice crosscourt, forced error."
;;;;
Roger Federer  ;0?2;5?5;0?0;"1st serve down the T, fault (long). 2nd serve to body; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; backhand approach shot down the line; backhand down the line, forced error. (5-shot rally)"
Roger Federer  ;0?2;5?5;15?0;"1st serve wide, fault (wide). 2nd serve down the T; backhand return inside-out (very deep); forehand inside-in; backhand down the line; backhand crosscourt (net), unforced error. (4-shot rally)"
Roger Federer  ;0?2;5?5;15?15;"1st serve wide; backhand lob return down the line, forced error."
Roger Federer  ;0?2;5?5;30?15;"1st serve down the T; backhand return down the middle (shallow); forehand approach shot inside-out; forehand crosscourt; backhand volley down the line; backhand lob down the line; smash inside-out, winner. (7-shot rally)"
Roger Federer  ;0?2;5?5;40?15;1st serve down the T, ace.
;;;;
Rafael Nadal  ;2?0;5?6;0?0;"1st serve down the T; backhand return down the middle (shallow); forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the line (wide and long), unforced error. (7-shot rally)"
Rafael Nadal  ;2?0;5?6;15?0;"1st serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand down the line; backhand down the line; backhand crosscourt; forehand crosscourt, forced error. (9-shot rally)"
Rafael Nadal  ;2?0;5?6;30?0;"1st serve wide; forehand return down the middle (shallow); forehand inside-out, winner."
Rafael Nadal  ;2?0;5?6;40?0;1st serve down the T, ace.
;;;;
Roger Federer  ;0?2;6?6;0?0;1st serve down the T, ace.
Rafael Nadal  ;2?0;6?6;0?1;"1st serve to body; forehand return inside-in (shallow); backhand slice down the line; backhand crosscourt (long), unforced error."
Rafael Nadal  ;2?0;6?6;1?1;"1st serve down the T; backhand slice return crosscourt (shallow); forehand approach shot crosscourt; backhand crosscourt, forced error."
Roger Federer  ;0?2;6?6;1?2;1st serve wide, ace.
Roger Federer  ;0?2;6?6;2?2;1st serve down the T, ace.
Rafael Nadal  ;2?0;6?6;2?3;"1st serve down the T, fault (long). 2nd serve wide; forehand return down the middle (very deep); backhand down the middle, forced error."
Rafael Nadal  ;2?0;6?6;2?4;"1st serve wide; forehand return crosscourt (very deep); forehand inside-in; forehand inside-out, winner. (4-shot rally)"
Roger Federer  ;0?2;6?6;5?2;"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand crosscourt; forehand down the line; forehand crosscourt, forced error. (10-shot rally)"
Roger Federer  ;0?2;6?6;5?3;1st serve wide, service winner.
Rafael Nadal  ;2?0;6?6;3?6;"1st serve wide; backhand slice return crosscourt (deep); forehand down the line; forehand lob down the middle; smash approach shot crosscourt, winner. (5-shot rally)"
Rafael Nadal  ;2?0;6?6;4?6;"1st serve wide; forehand return crosscourt, forced error."
Roger Federer  ;0?2;6?6;6?5;1st serve wide, ace.
;;;;
Rafael Nadal  ;2?1;0?0;0?0;"1st serve down the T; backhand return down the middle (shallow); forehand approach shot crosscourt (long), unforced error."
Rafael Nadal  ;2?1;0?0;0?15;"1st serve to body; forehand return down the middle (shallow); forehand inside-out; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand down the middle; forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt, forced error. (13-shot rally)"
Rafael Nadal  ;2?1;0?0;15?15;"1st serve down the T, fault (long). 2nd serve to body; forehand return crosscourt, forced error."
Rafael Nadal  ;2?1;0?0;30?15;"1st serve wide; backhand return down the line, forced error."
Rafael Nadal  ;2?1;0?0;40?15;1st serve to body, service winner.
;;;;
Roger Federer  ;1?2;0?1;0?0;1st serve down the T, ace.
Roger Federer  ;1?2;0?1;15?0;"1st serve down the T; backhand return, forced error."
Roger Federer  ;1?2;0?1;30?0;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; forehand down the middle; backhand down the middle; forehand inside-out, winner. (7-shot rally)"
Roger Federer  ;1?2;0?1;40?0;"1st serve down the T; backhand slice return down the middle (shallow); forehand volley inside-out (wide), unforced error."
Roger Federer  ;1?2;0?1;40?15;"1st serve wide; backhand slice return down the middle (very deep); forehand crosscourt; forehand inside-in; forehand inside-out, winner. (5-shot rally)"
;;;;
Rafael Nadal  ;2?1;1?1;0?0;"1st serve down the T; backhand slice return down the middle (deep); forehand inside-out; forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand approach shot down the middle; backhand crosscourt, winner. (11-shot rally)"
Rafael Nadal  ;2?1;1?1;15?0;"1st serve to body, fault (long). 2nd serve wide; backhand slice return crosscourt (shallow); forehand approach shot down the line; forehand crosscourt, winner. (4-shot rally)"
Rafael Nadal  ;2?1;1?1;15?15;"1st serve to body; backhand slice return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; forehand down the middle; backhand inside-out; backhand slice crosscourt; forehand crosscourt; backhand slice down the middle; forehand inside-out; forehand down the middle; forehand crosscourt; backhand slice crosscourt; forehand crosscourt (net), unforced error. (14-shot rally)"
Rafael Nadal  ;2?1;1?1;15?30;"1st serve wide; backhand slice return down the middle (deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the line; forehand crosscourt; backhand drop shot approach shot down the line; backhand down the line, winner. (9-shot rally)"
Rafael Nadal  ;2?1;1?1;30?30;"1st serve down the T; backhand slice return down the middle (deep); forehand crosscourt; backhand slice crosscourt, forced error."
Rafael Nadal  ;2?1;1?1;40?30;"1st serve down the T, fault (net). 2nd serve wide; backhand slice return crosscourt (wide), unforced error."
;;;;
Roger Federer  ;1?2;1?2;0?0;"1st serve down the T, fault (long). 2nd serve wide; backhand return down the line (deep); backhand volley crosscourt, winner."
Roger Federer  ;1?2;1?2;15?0;"1st serve down the T, fault (long). 2nd serve wide; forehand return down the middle (long), unforced error."
Roger Federer  ;1?2;1?2;30?0;1st serve down the T, ace.
Roger Federer  ;1?2;1?2;40?0;"1st serve down the T; backhand return down the middle (shallow); forehand half-volley crosscourt; forehand inside-in, winner. (4-shot rally)"
Roger Federer  ;1?2;1?2;40?15;"1st serve wide, fault (wide). 2nd serve down the T; forehand return down the middle (very deep); forehand crosscourt; backhand down the line; backhand slice down the line; forehand inside-in; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand down the line, forced error. (11-shot rally)"
;;;;
Rafael Nadal  ;2?1;2?2;0?0;"1st serve to body; backhand return inside-out, forced error."
Rafael Nadal  ;2?1;2?2;15?0;"1st serve wide; backhand slice return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand down the middle; forehand down the middle; forehand inside-out; forehand crosscourt; backhand drop shot down the middle (net), unforced error. (8-shot rally)"
Rafael Nadal  ;2?1;2?2;15?15;"1st serve wide; forehand return crosscourt, forced error."
Rafael Nadal  ;2?1;2?2;30?15;"1st serve wide; backhand slice return down the middle (deep); forehand crosscourt; backhand down the line (wide), unforced error."
Rafael Nadal  ;2?1;2?2;40?15;"1st serve wide; forehand return crosscourt (deep); backhand down the middle; backhand approach shot inside-out; backhand down the line; backhand slice at net down the line; backhand crosscourt, winner. (7-shot rally)"
;;;;
Roger Federer  ;1?2;2?3;0?0;"1st serve down the T, fault (net). 2nd serve down the T; forehand return crosscourt (shallow); backhand crosscourt; forehand down the line; forehand crosscourt, forced error. (4-shot rally)"
Roger Federer  ;1?2;2?3;0?15;"1st serve wide; forehand return down the middle, forced error."
Roger Federer  ;1?2;2?3;15?15;"1st serve down the T; forehand return crosscourt, forced error."
Roger Federer  ;1?2;2?3;30?15;"1st serve down the T; backhand return inside-out, forced error."
Roger Federer  ;1?2;2?3;40?15;"1st serve down the T, fault (net). 2nd serve down the T; forehand return crosscourt (deep); backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line, winner. (6-shot rally)"
Roger Federer  ;1?2;2?3;40?30;"1st serve wide, fault (net). 2nd serve down the T; backhand return inside-out (shallow); forehand inside-in (net), unforced error."
Roger Federer  ;1?2;2?3;40?40;"1st serve wide, fault (wide). 2nd serve wide; backhand return down the middle (deep); forehand approach shot inside-out; forehand crosscourt, forced error."
Roger Federer  ;1?2;2?3;AD?40;"1st serve wide; forehand return down the line, forced error."
;;;;
Rafael Nadal  ;2?1;3?3;0?0;"1st serve to body; forehand return crosscourt (deep); backhand down the line; backhand slice down the middle; forehand approach shot crosscourt; backhand down the line, forced error. (5-shot rally)"
Rafael Nadal  ;2?1;3?3;15?0;"1st serve down the T, fault (net). 2nd serve to body; forehand return inside-in (very deep); backhand crosscourt; forehand half-volley, forced error."
Rafael Nadal  ;2?1;3?3;30?0;"1st serve wide; forehand return down the middle, forced error."
Rafael Nadal  ;2?1;3?3;40?0;"1st serve wide; backhand slice return crosscourt (very deep); forehand crosscourt; backhand slice down the middle; backhand inside-out; backhand down the line (long), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;1?2;3?4;0?0;"1st serve wide; backhand return down the middle (very deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the line; forehand down the line, winner. (7-shot rally)"
Roger Federer  ;1?2;3?4;15?0;"1st serve down the T, fault (wide). 2nd serve to body; backhand return inside-out (very deep); forehand inside-out; forehand down the middle; forehand inside-out; forehand crosscourt; forehand inside-out; forehand crosscourt; backhand crosscourt (net cord); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice down the line, forced error. (14-shot rally)"
Roger Federer  ;1?2;3?4;15?15;"1st serve wide, fault (wide). 2nd serve wide; backhand return down the line, forced error."
Roger Federer  ;1?2;3?4;30?15;"1st serve down the T, fault (wide). 2nd serve down the T; backhand return inside-out (shallow); backhand volley crosscourt, forced error."
Roger Federer  ;1?2;3?4;30?30;"1st serve wide; backhand return down the middle (shallow); forehand inside-out, winner."
Roger Federer  ;1?2;3?4;40?30;"1st serve wide, fault (net). 2nd serve to body; forehand return down the middle (shallow); forehand approach shot inside-out; forehand down the line, forced error."
;;;;
Rafael Nadal  ;2?1;4?4;0?0;"1st serve down the T, fault (long). 2nd serve to body; forehand return down the line (very deep); forehand crosscourt; backhand down the line (net), unforced error."
Rafael Nadal  ;2?1;4?4;15?0;"1st serve down the T; forehand return inside-out (deep); forehand crosscourt; forehand inside-out; forehand down the line; forehand crosscourt; backhand slice down the line (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;2?1;4?4;15?15;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (very deep); backhand crosscourt; forehand approach shot crosscourt; backhand crosscourt, winner. (5-shot rally)"
Rafael Nadal  ;2?1;4?4;30?15;"1st serve wide; backhand return down the line, forced error."
Rafael Nadal  ;2?1;4?4;40?15;"1st serve to body; backhand slice return down the middle (deep); forehand inside-out; forehand crosscourt; backhand down the middle; backhand inside-out (long), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;1?2;4?5;0?0;"1st serve wide; backhand return crosscourt (deep); forehand down the line; forehand crosscourt; backhand slice down the line; forehand inside-in; backhand crosscourt; forehand crosscourt; backhand down the line; backhand down the line; forehand inside-out; forehand crosscourt; backhand drop shot crosscourt; backhand drop shot at net inside-in; forehand crosscourt, forced error. (14-shot rally)"
Roger Federer  ;1?2;4?5;0?15;"1st serve wide, fault (net). 2nd serve wide; forehand return crosscourt (shallow); backhand approach shot down the line; backhand crosscourt, winner. (4-shot rally)"
Roger Federer  ;1?2;4?5;0?30;"1st serve down the T; forehand return crosscourt, forced error."
Roger Federer  ;1?2;4?5;15?30;"1st serve down the T, fault (long). 2nd serve down the T; forehand return crosscourt (shallow); forehand approach shot inside-in, winner."
Roger Federer  ;1?2;4?5;30?30;"1st serve down the T, fault (wide and long). 2nd serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand inside-out; forehand crosscourt; forehand inside-in; backhand crosscourt (long), unforced error. (7-shot rally)"
